Month,Mean,Median,Std,Variance,Minimum,Maximum,Total Rainfall
January,0.62,0.0,3.83,14.69,0.0,184.02,94931.45
February,0.43,0.0,3.36,11.29,0.0,201.69,60076.2
March,1.0,0.0,5.04,25.44,0.0,245.05,153561.11
April,1.71,0.0,7.96,63.3,0.0,238.24,254590.0
May,1.94,0.0,6.67,44.43,0.0,212.65,299123.34
June,5.7,0.12,13.99,195.58,0.0,540.27,849321.5
July,9.4,1.85,18.76,351.93,0.0,424.7,1.4459218e+06
August,7.48,0.99,17.38,301.98,0.0,435.11,1.1510921e+06
September,5.07,0.0,12.51,156.39,0.0,331.14,755404.2
October,2.65,0.0,9.72,94.47,0.0,336.62,408219.03
November,0.5,0.0,3.8,14.47,0.0,161.35,75123.46
December,0.42,0.0,4.05,16.43,0.0,271.34,65368.24
